V1,V2,V3,V4,V5,V6
132.440841164209,393.142101868794,303.439585248914,301.620794577547,285.51758296058,334.475656474529
130.547307825553,372.56723255351,303.336855850668,307.654699899231,296.30702021378,334.900192192567
130.862901510194,381.906630790811,303.346766723214,304.74185223488,293.079207139735,335.441653735826
130.701267547348,369.731061214993,303.350407310566,303.68668052935,296.94156303345,335.242448305394
133.830268353498,399.853314306067,303.46453776485,304.615199262958,291.362702139757,334.139329956225
128.789287165772,397.249153679746,303.283494170378,299.694675943098,289.809094478818,334.849164422851
132.202848863773,385.55944898033,303.474159559523,303.886356441203,281.304681090048,334.44103978534
132.422551613043,387.879198272745,303.436612540909,303.057402898591,291.47190506723,334.951531578477
132.266084277015,389.366369371983,303.446019859488,303.152567928214,282.708087299085,334.33727328088
131.516750479942,381.872213683976,303.362216529531,305.122826847633,297.39073391177,334.231002429957
131.040549254725,378.344886968857,303.37159000682,306.612946944434,290.014010119905,335.513587407123
135.499676643905,394.355829919873,303.562859437271,305.214098020133,281.336877302911,334.052381597155
131.653820750352,385.952026256581,303.371114666512,303.763247568265,289.843349135499,335.110701988494
134.698056551574,369.600418846061,303.520105466648,306.08962319313,309.50952877534,335.247273752289
131.265107531206,378.937844474414,303.412221373255,303.568591545464,297.401845270954,334.186986361095
132.510628766627,375.12466712205,303.47729985482,305.606124818251,299.372319640171,334.553397566328
132.873148724197,373.598796283177,303.446625484627,299.735718170404,290.792782823189,335.485678038158
131.324951447762,357.945522300506,303.357597556673,308.207709555682,280.965720112759,335.40238134377
130.91288131767,380.293874191761,303.415106589586,304.68820102687,296.932381834567,335.282014131504
131.995606337051,390.273549646018,303.418770290117,302.773035771869,285.219015808307,334.808702378679
131.545569593322,384.395888239398,303.39055453583,303.698922584044,312.904699810181,334.667561169507
132.164763467917,401.11112280644,303.404693769804,298.810017380026,287.16911588085,335.054180767816
132.168699235622,379.850834217753,303.410839372888,301.096385788057,282.470729244415,335.396211350593
130.473950270256,380.871034289784,303.387919126634,305.703921437844,288.369372393075,334.650184557596
130.104383368711,378.428095378371,303.339929928633,305.094518813286,292.64406866656,334.739928311126
131.95453744096,376.392349456323,303.413421758577,304.542804113423,297.363476831741,334.939282216562
130.988304712263,381.96662625509,303.349631299144,310.551902826388,293.323448958415,334.24555132794
131.342174932228,380.222330315928,303.35027640342,304.908546743952,282.071255409565,334.2467948187
130.202787052236,397.984755201991,303.318544706359,304.181433355927,295.300988839557,334.84056938473
132.005740549272,355.443992863653,303.422903706517,304.962077323012,297.914989961343,334.552246704573
133.45401907793,388.316178891392,303.458771094735,304.393328023859,288.011865887432,333.98448508532
133.704850079528,387.744854068092,303.48834093153,305.485807307385,287.433285096703,334.129768836723
130.256705417114,366.996813287719,303.345395420689,306.178523906685,304.788950484755,334.926410089968
