V1,V2,V3,V4,V5,V6
123.1649848205,569.600512538996,289.144687809733,290.876264376659,272.673772517872,318.627356419803
122.393310290283,552.389119071095,289.072429058322,289.966793236523,277.844821518535,318.857321832683
123.973263318242,600.536647475593,289.206731206346,291.12124697994,283.194976664864,317.321661629931
122.648031772419,568.211175879838,289.113928739497,293.132820343892,280.188119927644,317.909226352551
125.394596808215,579.959763860527,289.257297351926,295.172626050068,284.326407429121,318.640413599225
123.432591359592,541.80372826921,289.198473042374,295.581571882807,284.680728449176,317.510642758132
122.907839430471,576.927084065456,289.151305779545,295.209527981403,311.563929533558,316.882084232442
123.069676560681,541.46359912405,289.081337320834,293.03021135063,287.504511663911,318.402235578111
123.060861987895,543.939101938276,289.13188216016,293.628098417238,285.985358195117,318.455914470954
123.493979147392,524.645806897594,289.138744279735,299.280836924237,293.767444596415,318.0432672254
120.894039928778,530.626539579148,289.065573720016,296.758564805568,274.266887337302,319.165495229642
122.761617891789,546.983422452161,289.109532601752,294.198843485194,299.864120611443,318.078461117415
125.308433944095,572.044546304617,289.208590565017,293.388485913997,290.318204069829,317.189120470695
121.529642021793,567.590487951575,289.128600598012,294.699638216274,284.537724177383,318.717111447874
120.50581251018,548.492800084867,289.066624256936,291.765074224467,287.119747575605,318.570367688807
123.548340027736,551.525895098951,289.100759777277,297.237993242577,288.830494057569,317.87535404217
121.29468257368,551.241262605017,289.02488456923,291.865695729647,285.595798894402,318.788155225703
122.113127074318,566.377085826029,289.117940698962,296.52627582325,280.043428782448,317.868613796609
123.081060670488,584.821170812537,289.15128670697,290.760276188163,290.043508117607,318.343979877292
120.937823532222,554.920178843637,289.113259187773,291.888848030813,284.111663194407,317.43883329642
124.093085536368,527.498976871689,289.142155544015,295.689044207745,276.12516269478,318.533782991339
123.645787375503,541.730432636334,289.130479899369,291.028628956235,291.099558316144,319.459790395324
121.041046903683,521.48146818141,289.023095019725,292.346402294972,281.169151660916,318.531902698042
123.033755982251,550.167162253393,289.148133981347,292.263145923364,292.460509165751,318.848081913821
121.510904163455,581.865095598701,289.098941843695,293.152301092615,283.161828441598,317.10914211866
122.907034971204,566.629352353126,289.169099657928,293.653730145011,297.900120978299,318.697528665568
121.476873936287,557.628576824513,289.027700156866,295.45194827689,285.839633330887,317.392485206176
125.621483251959,546.844389701127,289.255893537568,293.645629836106,278.429229364459,318.807191549176
122.0432410779,564.930206677009,289.105439274053,295.484814655802,281.208977192914,318.203781169281
123.090198254992,567.858495041167,289.133010199325,294.423859930907,282.638015547086,318.214833770824
123.558724738537,572.13466918416,289.179925442794,292.60233743404,272.09246509265,317.935630438917
120.14780983286,557.417510714951,289.014246116966,290.851425808717,294.229629067401,317.92449811489
122.195168915175,559.401109205337,289.134652611665,294.208522018367,280.138498638853,318.378864589724
122.910523898219,553.074589845715,289.150378178752,289.785724552249,303.91897973992,319.687281397833
122.182152873536,587.412528180444,289.176420383033,293.349333462626,288.24750478408,318.437571867602
122.203050723796,558.611585897139,289.101610375813,297.502235862548,271.641856334409,318.346569667624
122.370761050973,554.81552001279,289.127248008548,290.456183798756,284.208380243942,318.701984053438
118.99803133716,585.062411069001,289.022818523455,292.548861853285,291.487591805518,318.385244986033
120.331061662425,548.542897456169,289.097339697972,294.426511495375,293.051747496817,318.539646211781
123.86485891647,578.406218487988,289.172319788299,291.324004762087,277.808297838382,319.012639080301
121.977724241085,605.810089631575,289.145345766199,293.769695899256,282.894117064866,316.620670684584
121.861026632552,566.582322704974,289.131225503577,297.560240676926,279.260926513838,318.681521545637
122.09713108899,569.234238954802,289.119829173023,296.018750631125,280.920624244915,317.984486795562
124.529199571545,575.782270809421,289.22297880163,289.513463392151,278.079612629636,317.658803676507
123.107731204443,549.803629913911,289.127057222805,293.844463432922,286.216911086215,319.111375686239
123.920723138941,545.83400139686,289.176552949237,294.302952755685,289.67386851535,318.899747277329
123.155352912974,580.072222027552,289.160033720233,291.094031980843,277.27772955984,318.069883833866
124.122080144842,573.199158521806,289.258610970603,294.417126685556,302.482451383974,318.263566686556
123.304332268013,542.547844710477,289.154077036816,295.393379600307,278.011377472376,317.402567157457
122.672843994279,558.356510408947,289.165015060372,297.917695108968,281.742818402467,317.775533147319
123.407702821092,559.35806461374,289.215178443917,294.01860700469,293.731919284367,318.008157259039
124.817746693275,590.578636197188,289.250442588609,288.977191024016,283.066113104246,318.621194413737
123.219012988606,589.821490315266,289.155077079066,293.683065136004,283.04909791873,317.950461029955
121.379560407136,569.16714302174,289.105401693805,292.114258091338,271.110708603068,318.556381021142
123.727655956392,532.587439721431,289.150868339719,297.255288436918,310.696331524403,318.250935577356
124.454151027159,549.930960840242,289.19305044816,297.277568245336,274.564442256178,318.68514583563
121.960523915801,582.61780479098,289.088161631054,293.360226050355,289.867597725961,319.165516086937
121.858932291384,612.77974069288,289.137233191237,291.187047243318,286.106155517757,317.476683391975
122.581165488217,566.470680009496,289.137756158666,293.007226313903,279.491286220813,318.457673453932
122.612334052171,528.001373096974,289.12076047721,296.103870317757,271.266688706245,318.091562803955
