"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"result.55",0.76,0.875,0.556931842259964,0.68,0.625,0.267502695888644,0.68,0.75,0.372857286895372,0.84,0.625,0.44744645862196,0.84,0.625,0.44744645862196,0.64,0.75,0.33565855667131
"result.56",0.72,0.625,0.307350428199288,0.48,0.875,0.311355596853995,0.64,0.625,0.229784141923892,0.88,0.625,0.505,0.88,0.625,0.505,0.52,0.375,-0.0903696114115064
"result.57",0.88,0.875,0.704041130221437,0.6,0.5,0.086710996952412,0.72,0.875,0.515930431866851,0.88,0.375,0.283333333333333,0.88,0.375,0.283333333333333,0.76,0.75,0.454344111251122
"result.58",0.76,0.5,0.242451250142482,0.6,0.625,0.193649167310371,0.56,0.875,0.374388390133384,0.72,0.75,0.412217269074304,0.72,0.75,0.412217269074304,0.6,0.625,0.193649167310371
"result.59",0.72,0.75,0.412217269074304,0.56,0.75,0.265822806970889,0.48,0.875,0.311355596853995,0.88,0.25,0.155379719213471,0.88,0.625,0.505,0.32,0.75,0.065275336576822
"result.60",0.84,0.5,0.34,0.64,0.625,0.229784141923892,0.8,0.75,0.5,0.96,0.375,0.439876550080071,0.96,0.375,0.439876550080071,0.68,0.75,0.372857286895372
"result.61",0.76,0.75,0.454344111251122,0.72,0.625,0.307350428199288,0.76,0.75,0.454344111251122,0.88,0.375,0.283333333333333,0.88,0.375,0.283333333333333,0.64,0.75,0.33565855667131
"result.62",0.84,0.25,0.1,0.52,0.375,-0.0903696114115064,0.68,0.375,0.05,0.88,0,-0.178885438199983,0.88,0.125,0.00656532164298613,0.68,0.5,0.160356745147455
"result.63",0.84,0.375,0.225381239895212,0.76,0.375,0.129903810567666,0.64,0.375,0.0133630620956212,0.84,0.375,0.225381239895212,0.84,0.375,0.225381239895212,0.56,0.375,-0.0563621480190678
"result.64",0.84,0.75,0.550177836861785,0.68,0.5,0.160356745147455,0.64,1,0.548795472456028,0.84,0.5,0.34,0.84,0.5,0.34,0.48,0.625,0.0903696114115064
"result.65",0.8,0.25,0.0524142418360959,0.64,0.75,0.33565855667131,0.76,0.375,0.129903810567666,0.92,0.25,0.223220935861528,0.92,0.25,0.223220935861528,0.72,0.625,0.307350428199288
