OUR,ORACLE,NO-GROUP,SAMPLE,G-LASSO,TIGER,CLIME,POET
32.1505931456875,32.3045939056419,182.833001567112,1404.18324267225,93.739921534506,84.0796822498499,84.482965879451,86.2647124273525
31.0767731060397,31.0767731060397,175.243309801243,1319.30355105638,93.7987839462196,84.0085771345162,108.235676878051,85.2618338038825
30.6328207427549,30.6328207427549,179.238327837761,1392.06875998524,93.8580990200154,84.3847098329047,90.8082666666931,85.2570147273804
30.4263353512265,30.4263353512265,184.298111814918,1373.41126750299,93.6436665657757,83.3654439668442,89.7252646694494,85.1305495611028
32.5458432676268,32.5370697456803,181.910636777137,1420.39235843788,93.9600073147784,84.5724079912172,89.2732780683472,85.5209179444559
30.8455421612937,30.9441376184941,175.953136436564,1626.6875454978,93.73592753043,84.0393490577627,88.559220617923,85.3417569499558
31.9510413213564,31.9510413213564,180.555922844334,1530.84124425727,93.8690010806317,84.2313494338506,83.6999305147126,85.1841272510667
33.1739455972428,30.279472566441,182.166619689257,1516.61449095578,93.6670785059659,83.9774784359525,88.1141323807066,85.8383570206108
31.4905744369758,31.4905744369758,184.77695992064,1696.98799560858,93.736894278312,83.4892084213347,93.7506116949153,85.019593798321
30.0001707662835,30.023815855511,171.04077925723,1246.71021829089,93.6742716297994,84.1475087612775,93.9331493588596,86.1756701944135
29.5062012380715,29.5062012380715,179.606984737191,1487.94558305377,93.5770609492567,83.4371235004521,89.3300334466326,85.4237723199158
32.7773030128679,30.5156719762196,181.809159224574,1237.88846683977,93.6067640548525,83.7238303080071,86.9393804915614,85.2345000776441
32.1786737528959,32.1944539511295,177.030811170271,1505.99927759152,93.8074537137119,83.6396663630605,85.050276196126,85.1113850160941
31.2483446863764,31.2483446863764,170.098508104184,1374.0431977239,93.630928228559,84.0153134506821,112.476892540625,86.7583224378586
36.5746050614958,31.038482013885,171.977886315776,1434.1818652845,93.6303499660476,83.7399264980784,90.4228072208623,85.46221085336
30.2354624283023,30.2458920451178,189.575747790841,1589.0346469414,93.5377139254389,83.7678424054642,87.7161146603952,85.4404398003756
30.493045525596,30.493045525596,169.702715162209,1308.99768021336,93.7088781509163,84.2308484855291,101.089471729677,85.3691049278269
35.4527428290905,30.962348884403,178.845806247116,1362.71923127016,93.7407345997925,83.6277656184169,89.8300020531379,85.747938520248
36.2337660014197,30.7418461416563,185.519127509915,1329.7761793314,93.5596146992098,83.0248570116328,86.7234828313276,85.0366748568443
33.4083760526949,31.2937343158575,179.267364342263,1322.07403172808,93.8083004144036,83.9972362445104,89.4881785483335,85.4265813638451
36.1691482922737,31.9594149320257,169.846425636931,1244.7215190061,93.9921432388373,84.5644063869802,87.6648932326405,85.5665648872342
30.6709483597129,30.6709483597129,184.073478106082,1388.64350886305,93.6843019445985,83.7976362319623,93.0058285327046,85.5836630156681
36.4127633420793,30.9533613911835,179.758465575638,1390.92549473387,93.7037619469977,83.7839611024659,94.6840743157207,85.5480456460731
31.4052722272782,31.4052722272782,180.411517101506,1395.99570932648,93.7135683882043,84.0262003097325,103.479301055014,85.5124868371549
31.1804275597578,31.0854643847629,180.379929126517,1576.79195123554,93.7076328126774,83.9048533962661,99.1313226703809,85.3177409648768
30.5335520283023,30.2552902090824,184.377603138637,1512.52134924024,93.5247974507448,83.4919162845268,86.1642606717624,85.5950276187578
30.5217231086457,30.5851107829673,174.644793366541,1301.22733330349,93.6445651443294,83.6104444501246,82.7438856369164,85.4766873179142
33.8831597905085,31.2534303795726,182.657040915904,1415.96045470628,93.6217400151939,83.226070694843,91.0035970316982,85.0098986815331
34.3274771849535,31.8090013548489,167.386927897887,1349.90667833509,93.7014299016029,84.4767167720192,99.6234430947239,85.8694305348947
33.7649625501496,30.8104660490627,170.732234161731,1406.99893816409,93.7147612597091,83.5500616712134,87.6573041836985,85.7945789550608
35.6613755565453,30.2683667794351,180.230050033928,1298.48933017902,93.647517804338,83.831663476576,98.8506576466194,85.9774758089479
31.5569159020263,31.3311597521451,183.080950666861,1298.2815402632,93.7245239397545,83.6337420808928,86.9452469242396,85.5674633070705
30.466494120718,30.466494120718,177.459209179912,1370.29037970564,93.6027282489106,83.6082195855169,90.5547746817978,85.038021800412
36.2398364075085,30.7077168389248,184.596237266867,1470.09170057342,93.5210406562835,82.8818217298953,86.4613183595413,85.1181945972813
31.5131326480627,31.1448093564522,178.172251124034,1364.13171889869,93.7988987596108,84.5660615634336,89.8399875253947,85.5242967890941
33.8540286622327,30.7815949010097,179.696465161366,1632.78775346394,93.7179587948491,83.8431329810847,86.594206093284,85.6554365345947
31.4733210842481,31.4733210842481,175.064443328484,1497.3535482816,93.7167526827422,83.7239775496181,98.3826170182712,85.6325290272012
30.0600486037461,30.0600486037461,186.704261645813,1558.25726995997,93.5215889404008,82.8773911958186,82.713925734408,84.5270289635947
30.8800063994814,30.8800063994814,187.710078012803,1502.66777165678,93.681692111929,83.9335366216251,90.5765835419412,85.4707711538926
36.9387567798736,30.8597360687554,182.684571454425,1354.41779896279,93.7179843900673,83.9503515523779,92.3121754506604,85.0684960708065
30.065252522044,29.9919030078933,180.868028013068,1272.98710018802,93.4876659292133,83.3721872131134,86.6446995812878,85.4369154520773
31.5554885027777,31.5554885027777,181.252514992152,1548.86509309778,93.9266819983896,84.4305278984448,87.6000902550442,85.6130997018796
34.1146484794794,31.5133889359601,189.626496733786,1589.90706164071,93.7565792777015,83.6993329429975,86.5276375096198,85.2748086596172
33.2618478018663,30.2108540541821,178.90350146037,1310.11564112681,93.667021324648,83.7838689891204,86.6408516596445,85.3129857446036
30.4689838313364,30.042536341988,171.633073535824,1286.17902950304,93.652290036699,83.652942240316,93.4334761289616,85.5232413667058
31.4655520060995,31.4655520060995,172.99539188606,1458.93141891052,93.7375443680489,83.5251982273906,87.6181306456496,85.3208071101082
31.3252662402014,31.3252662402014,175.439786045517,1220.69253112849,93.7715431366114,83.931793685952,87.6975325589441,85.6968006732625
34.8771059211854,30.0985412270465,177.517645009742,1419.61510999524,93.7064013876182,83.9425479848271,94.1914902875079,84.9146449725769
33.950616236901,30.9197436529983,165.385004840134,1337.18009060187,93.6965380613954,84.0507283767692,90.5825230999316,85.7022628308779
30.8588656442651,30.5807115479617,183.450552110172,1310.56436922228,93.6204591052271,83.4369659226271,87.3842352004686,85.6583913480109
30.4004597222415,30.1763634305159,185.827882221611,1659.47412915139,93.5371906507177,83.4849150354768,85.6274238898233,85.7383710010202
