OUR,NO-GROUP,SAMPLE,G-LASSO,TIGER,CLIME,POET
113.707237434321,196.626906684652,2865.81357349734,258.455532940923,242.720138625577,252.106847335488,284.651458685527
112.817398815614,183.320718433874,2695.42714539337,258.482560526549,255.690576883007,241.596454467953,283.09936971409
113.869266790554,196.212346934598,2809.01325839081,258.556168491808,247.101740004688,239.285200148598,283.342259458813
110.178395337793,199.382011468793,2897.9821876498,258.381707981411,248.629420827402,237.540024437791,282.734490621362
114.967224731934,198.762125771625,2973.59425818966,258.577680163577,249.769272400932,245.385989169166,283.268569347493
112.536059876811,186.485953895285,3266.08724570955,258.454497062006,247.916492747331,247.580394654372,282.790138661783
113.566567315773,192.749265463124,3223.47686142065,258.506184862738,249.896460462323,243.537044933089,282.835330793977
110.373539793609,194.819331438332,3053.10021920829,258.413670067765,252.065065494679,236.334199452882,283.309966776304
112.940361860519,201.758193681705,3451.72598405049,258.459827177789,249.326294093194,234.595544105838,282.278047295018
112.636339851277,186.749950311499,2588.29411354101,258.432008347861,249.42682358368,250.280759452349,283.327975886877
111.757441313106,193.773490676971,3083.56702082564,258.394960975649,245.613586811875,248.464959339881,283.349225025722
110.160353329505,200.442320809792,2561.22817267053,258.372245839864,248.83050372853,243.474757751377,282.653217693077
113.774467631754,193.785618321516,3006.99817277784,258.502163211833,249.678762388334,247.298740041495,282.526731171895
111.139255002861,187.180635778884,2955.56412511455,258.387901821729,249.802099433336,259.028674582847,283.71418462737
111.464795829378,194.377090922692,2901.47088286673,258.378750840615,251.804068612787,237.868568814932,283.26323288716
110.256025272463,213.109990655282,3287.1193795738,258.340840857005,250.371895356062,229.004042411278,283.081245777836
112.65537800725,187.243697756281,2649.2725378858,258.434411497023,252.783550872024,230.92549114082,282.691262123238
112.817010427451,192.553617549096,2772.33262649096,258.454289454409,248.247442514506,240.19517577761,283.677233044383
111.396019713078,199.848848113541,2785.24903330205,258.375274918906,250.945909125925,233.021685722915,282.410481665473
114.016466192394,191.054175831007,2680.71547181233,258.535325460109,247.764147490136,238.555906598831,283.535296105156
115.210205733336,185.441378459953,2556.22467837514,258.613149943442,250.63221443856,249.910728974297,283.012759235441
111.125949728755,196.57243088292,2867.82258258845,258.410211261183,248.406835196133,238.12327311675,283.422457678896
112.261656759619,197.229990044689,2875.76065038494,258.445852755202,246.336512121223,243.077267402736,283.06690521424
112.526510339432,195.047022832984,2931.45717261411,258.46189734556,251.929361138226,242.62767123966,283.083261873008
112.423965552838,198.461757768674,3307.91766027453,258.431724959808,247.458232559471,232.009580720017,282.958549356763
111.153584259294,195.477878428278,3137.52207646856,258.349002129822,248.035326538331,233.350064900565,283.217527888357
112.01942660538,192.176820477279,2577.71966769924,258.406082872854,250.497149198498,243.648766772275,283.110423308082
112.918521112877,197.620856640081,2900.3638789151,258.428006167989,250.517100590836,239.083582817422,282.220168229214
113.050695225835,177.330461382272,2807.23471624476,258.437436964025,249.391467042003,231.214530616938,283.930906358954
112.731976468742,194.530018554405,2857.4527532985,258.431525744752,249.908901472916,239.501363874508,283.607521950251
111.112146652755,196.617570498168,2704.59080163245,258.417176522239,249.378853700386,244.02775436441,282.732835742479
112.546546640375,205.110398110328,2566.83408156245,258.442494979353,243.297662112294,238.020919261116,282.877195876814
110.959086879982,193.037561386638,2824.15176194307,258.397686407708,250.381858499664,238.140898621487,282.522747302584
110.234129945722,193.843337780019,3173.62782618559,258.30985912851,250.484696097336,236.938690575217,282.199998896516
112.347388803952,194.831911470885,2820.14961506039,258.476204169623,251.618838846238,236.309118683004,283.288652139326
