OUR,NO-GROUP,G-LASSO,TIGER,CLIME,POET
130.189942455504,685.499204810107,303.378884149946,309.705720902352,299.170278260083,335.847328432927
130.225270549724,704.801440911061,303.410381646692,316.258276776492,305.942563543346,334.022010318054
129.131432754435,707.311241262874,303.449420469139,310.396152925899,314.093653556088,335.048787749746
126.003641257191,735.031808182952,303.248167047394,310.843105235905,298.517471874524,334.372914111692
132.410766487717,708.05912791568,303.53087369879,310.108602615134,289.120918993209,335.172666652069
127.964001404208,707.225464061426,303.332398017564,310.78668119572,299.349793610001,335.061481861954
129.094282820007,703.270666008861,303.353688045361,309.347576013458,308.626941368242,334.736072089547
128.317671351268,671.599426044276,303.321753995737,316.340329394286,292.786351847543,334.97235638355
128.816202098933,754.707913488136,303.384802302354,312.44150145818,306.984043083703,333.088000692778
128.35520452945,681.177584517843,303.350416494603,310.697865486064,321.683382477545,335.079667065178
127.82275269648,735.658065221534,303.302816221712,308.548733731685,296.880361701139,334.426053715544
128.735692164193,768.521249752606,303.340470090933,308.719456801111,303.790342615033,334.486223499008
130.404955392661,665.197849669152,303.431975160148,312.801064364641,300.306737820891,334.452353738337
128.35502976118,670.785069650893,303.294813831855,308.210130023635,304.146090659229,335.89194598926
128.626032211599,693.924785759359,303.347338792946,311.665150294714,304.385665690408,334.982842770897
125.892242451978,697.392038932178,303.251147984494,309.479500509391,292.03436301894,334.59645790971
130.801087300423,688.658905433748,303.352117159405,313.805267874458,299.045750192505,334.674475179016
129.639076917714,690.327236988339,303.377365739584,308.144587550211,299.680778579323,334.871923715678
129.420709311264,695.387438901711,303.279792769198,312.080004225566,293.037488885594,334.05678264548
130.637537489679,693.126171745965,303.465091200466,309.372481894883,302.328887254752,335.234614233226
131.963744706202,739.021528209578,303.529660873038,310.199347143993,293.380174456328,335.080581719026
127.137999272467,686.059768013499,303.282000825761,310.28899551919,314.61888431396,334.747690995956
129.29542486595,709.760827583621,303.350033717482,309.138015680465,293.806590599269,335.075188513859
129.653995341922,689.875439492615,303.39029859971,306.607004536772,304.800905199709,335.477309616637
130.279194512728,720.488696309014,303.40473725349,309.848386888645,298.918906766667,334.828320792679
129.664306574172,702.533291687864,303.313747462111,306.418965792055,295.407924663439,335.206325157866
129.203344016807,675.741397163766,303.319327559602,313.685811824675,317.26775832949,335.33994295377
128.962267489419,706.42879045969,303.31999851857,311.912457998523,282.352887917313,334.105121717599
129.476717643479,628.76892107559,303.350310468569,310.255645202706,314.993447222315,336.1463563182
128.954729989213,659.685560264251,303.330109391496,311.393605481264,295.477266129171,335.092700175697
127.24968616261,719.652422990825,303.292852389709,309.050533602366,304.055653605137,334.524389450725
127.916318929623,744.130808547329,303.310046077621,311.465745832803,304.247909688456,334.1390400751
127.42792475584,695.434250682259,303.270625632452,310.760953996715,311.388364698597,334.297995336477
128.044019139909,712.372444513638,303.247691070453,309.371823728683,306.650017564369,334.161946444924
130.698751191814,670.631829673105,303.474999563174,309.854755578163,305.372035637837,335.147278394382
