OUR,NO-GROUP,G-LASSO,TIGER,CLIME,POET
131.851117385879,379.542535232296,303.429117047116,297.441572704727,290.48174496188,336.408939552093
132.093075735865,380.185672139859,303.429547237183,307.609866719684,302.836895028554,334.91427440139
131.264719506147,381.628269713359,303.443859056705,303.087622222418,281.393923964501,334.957203260374
128.806084696916,390.122161267437,303.296767980931,299.745698142224,285.662862355169,334.573406882883
133.333504392151,379.397882962152,303.51379642393,305.888196612948,286.781273954814,335.27935775421
131.403998687467,372.794966580588,303.38259301333,302.887662263935,301.315043850707,335.038804490595
130.086563847106,390.066738719597,303.383810759998,304.691365961249,294.925539292997,334.723732317042
130.025397420791,374.691142407459,303.35772463285,306.367571983506,297.770701805164,335.338017476896
132.645677452874,402.612036982309,303.445528609408,301.078049074304,293.528629204417,334.118382603716
131.035033224249,369.601588942902,303.40465124278,302.76070600247,308.014004495124,335.205558038752
130.535057240406,388.894632661677,303.367890453555,299.733370947886,287.356332682179,334.993511515338
131.298418326007,388.132020531032,303.389795122108,302.347592305598,294.111923819271,334.745778099467
133.704453754679,361.172658438595,303.499205896124,303.559948010605,290.418820165599,334.605400800607
131.149012015276,361.296169670808,303.36360968519,306.037501883442,307.974651069356,335.344193303713
132.662718402474,373.485455261213,303.436161728395,305.940619771753,282.095872467449,335.23206153947
132.619859659964,389.918217069679,303.387647662082,301.53148796135,281.47329263071,334.888596620316
133.07895800816,357.525056902166,303.417851209747,308.127963449745,292.937195428665,333.933964379077
131.470404530291,384.719805974206,303.391195815687,302.00160801759,305.486935397556,335.198713100581
131.121243773792,387.982210917603,303.378161458332,305.855840164053,281.850753177789,334.428599051457
133.12793562104,382.581290695149,303.498235381615,302.605274530846,299.263194277604,335.100996787666
131.99194060342,374.980747222695,303.469728683879,303.325683600607,296.071651063741,335.015734171244
130.586938973087,385.163081576315,303.353251947,303.027126185168,291.463276536763,335.190236519979
131.96768737034,393.598571969667,303.399587432278,303.813506655378,297.034898366744,334.58979252553
130.957637794481,387.845851266453,303.40434619493,302.252789188376,293.551730749079,335.240414166839
133.034331965041,387.345015505957,303.445325971198,300.723892371491,292.944892133848,334.733904477562
130.711898251808,383.449499950556,303.391225506337,302.005501827083,283.394679335956,335.10808990675
131.511337160195,368.974305959347,303.369634449912,304.252353816631,299.046851458818,335.313932947978
130.61017240826,396.273845522392,303.346498877617,303.929156370735,290.987218931173,334.116518023183
131.423065921597,351.940853113448,303.342224488213,306.894833458535,284.999462961158,335.577347160968
133.739245978365,369.944935966583,303.44165193641,305.589168429584,281.480119179226,335.503423720096
130.590327255418,384.643603710254,303.344667253366,304.013122092478,292.25100503086,334.533918409228
130.654270103588,390.583946189044,303.366889579024,298.062122610199,293.259771295494,334.94222028482
130.469747808381,386.747566158118,303.342231948299,305.852940434476,296.642861504283,334.599255840575
131.159202448664,387.484659361546,303.327929270428,302.292396299283,295.051286177815,334.100183412711
132.484002654608,383.23570917693,303.485800017214,306.504289856373,314.990619051073,335.32348906753
131.059233744877,384.668909532651,303.38710223122,299.979815938646,305.251659119275,335.039345865564
132.941072906435,357.496871137515,303.450228306167,304.75252095162,300.009688841066,335.38915526714
129.421559306508,412.768360772788,303.277434887255,302.81386827474,279.894280098418,333.341987982204
130.264991995056,392.358398437514,303.364213412325,301.481098077072,294.452162605835,334.974794733748
131.670366442609,376.955902578684,303.420468382525,305.823862192363,281.050955820417,334.604974979215
131.112897775046,387.597617720364,303.325526339001,303.42552905347,307.183846099235,334.813454917609
132.209231893032,390.202031542313,303.496417344055,301.319263239609,291.367525536801,335.152919620939
131.285559923488,387.501010500944,303.414241632652,303.310453010336,321.633046006583,334.703114684717
130.255036295649,386.364807757193,303.338169056353,304.810663725616,294.388983204954,334.870744139224
129.577920256263,375.050753025421,303.305086224668,307.355268363944,292.914313880043,335.178978723308
133.377718476183,373.935718203811,303.393848520644,306.193287590166,284.689870759034,334.962246572667
131.851739140239,362.515046190488,303.393581514797,303.267998898625,290.855146595977,335.708992634824
130.861339171748,387.516329867543,303.367392377463,305.7609342027,298.657665703318,334.028960706027
131.051054573208,359.206855293159,303.398895412343,303.288358444894,294.577797495072,335.727894636938
129.864893195296,383.375266034456,303.337759680055,300.801487078672,284.886761820442,335.258060930398
131.390731496162,377.958502914282,303.315037396459,300.160474678338,291.212094845692,335.169672375422
132.336298234171,385.69503386342,303.450788471526,302.148785339141,296.568674212043,334.973061356627
132.424196133502,384.462001996875,303.413978715304,299.345381023087,294.812460155904,335.759243861813
130.872686899041,362.492899642042,303.360792801604,303.636041463829,292.230123680869,335.482152843302
131.471439269898,383.548300855165,303.395202418279,304.324196372132,285.870491592802,334.807145002651
132.228305429954,406.878235415679,303.414167196984,305.23313786133,296.420165065631,334.332773482232
133.137940140718,354.428601193148,303.376262892595,307.496756840918,280.625470792503,334.140573896985
130.652942353763,399.231482703037,303.38300244509,302.039725554531,288.425563810818,334.048935602302
129.053333752485,389.02696230574,303.302049885361,301.414096343746,299.768744811613,334.973278306305
130.731166483932,373.0946584153,303.389009403527,301.771685717428,287.404040254845,336.179235585181
