OUR,ORACLE,NO-GROUP,G-LASSO,TIGER,CLIME,POET
47.7566528495334,47.1554307967199,1468.22145560391,101.648057530299,76.8141857051187,114.872080551534,115.224358054975
46.9235633749026,47.0786628240337,1330.86537891036,101.693886064784,76.5006633076164,89.1532622371499,114.494222634528
47.8493391310428,47.9395372992243,1373.51245092709,101.734629234934,77.0171118521699,123.531886228045,112.761286155799
47.0244887541027,47.0581185547673,1382.60034987262,101.645827513465,76.3666420398733,108.137878953024,113.257550975218
47.3952025979712,47.4424038026137,1430.16952579231,101.800362376323,76.987882638241,106.380288899285,115.512978562619
47.0516274070396,46.9876027484067,1707.26311984273,101.646002985432,76.4537119354985,96.4447887255549,116.503703074306
53.3496591637562,47.0069014144362,1457.8255831609,101.682878432593,76.7023817049306,113.716548360069,116.200348253469
46.5297647025588,46.5955141070514,1271.91838038327,101.758402147577,76.7309274949454,104.169733731239,120.129561274242
47.1423521054419,47.1544513483111,1478.66772824008,101.457077068224,76.0363033657267,106.733745509722,115.689309191371
47.1705588703046,47.0549740445537,1330.76370025187,101.813425674869,77.0144096402597,107.705939933905,114.414353492398
47.0507325815249,46.9841316838358,1603.21604270353,101.561550347331,76.2665322247348,112.179023081332,115.867691346264
52.7332439228787,47.2583851236399,1579.49415774984,101.623072518405,76.7264668049128,104.397635659065,104.122600641052
52.8765426098003,47.4685929267316,1359.45530428496,101.619116437675,76.0185597886879,115.794669602994,114.930006722673
51.5469914738473,46.1465664012059,1410.4278776442,101.752117593223,76.8071667255614,128.993968517954,120.138186189303
47.4946833291366,47.6033425766032,1479.09945110039,101.552093639815,76.5780229986266,112.618724769233,104.045708099975
47.5501001494559,47.527140215685,1402.42614919093,101.579510065816,76.4154172962266,96.7827256094466,108.309609212284
49.4176427860617,47.0417412760871,1238.54735956046,101.512804028904,75.2540830242486,120.179063188102,119.293306191194
46.786855329061,46.8940590581323,1271.43871709764,101.475670671457,75.2676512184572,114.362475677458,116.525214129678
47.4334479260133,47.1749609870857,1259.10284853238,101.348784091744,74.5428941846234,104.288739793471,118.522715228921
